Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth,Beta_Z,Value_PBR_Z,Volatility_1Y_Z,Size_MarketCap_Z,Investment_AssetGrowth_Z,Momentum_1Y_Z,Profitability_ROE_Z,Composite_Z_Score
ABBV,0.525,0.1755539340379353,0.7439436509830142,-2115.2886,0.0175781421975984,0.0145492841898735,388625137664,1.1285399,0.0033404844444774,0.013742032059668816,20.472017821670594,0.015328755840336935,-2.5966875345407026,0.03359201205665923,-0.017125321103410363,0.15748809719907633,18.07835586318222
HCA,1.422,0.0352719455474932,1.2818215421788284,-22.390497,0.0179104123789574,0.0162191512691652,97486372864,136.31683,0.0587429506680187,0.010762844861507869,0.27584991626278704,0.015323099964499412,-0.5529192676070894,0.028723153823702417,-0.021005541695006198,13.497573823190884,13.254308028801285
SKYX,-3584.22,0.5061728703941155,-0.6494252810564519,-15.844156,0.0563623730048256,0.0540370153955726,135965424,-4.81191,-0.1369398907690778,11.919680061793748,0.21267866018847487,0.014668573837238337,0.13047194494960376,0.04592007804969567,-0.007980352325696107,-0.42870254740734914,11.886736419085715
QURE,0.134,8.405940238803817,1.7974087915519503,-650.68494,0.1813705726496441,0.1151750388706917,2606179072,-4.2746797,-0.3308364063971027,0.01504065212040564,6.338801593974101,0.01254069449226787,0.11313126457062073,0.06296001707782517,0.21052838383902298,-0.3756898326870208,6.377312773387222
RYTM,2.238,0.8979632012466425,3.70208640427868,-521.0215,0.036858665890797,0.0390209688317775,6436771328,-1.16967,0.1788997580729988,0.008052681256491888,5.087567909123859,0.015000564343750805,0.0862408472064043,0.018163579478779893,0.0028566262894573237,-0.06929424511507545,5.148587962583669
MAS,1.193,-0.117585963365198,0.6604969402391581,-178.50375,0.0190635707127694,0.0187516637852133,14986249216,5.14458,-0.0647025918329293,0.011523417735954755,1.782320520506729,0.015303470997703867,0.026224271885875207,0.039571747521723946,-0.02523361410924715,0.5537821783905117,2.403491992929251
EQH,1.153,0.2690058113488141,1.142971416224753,-200.72519,0.0230058765262355,0.0206091459918916,15752623104,0.25013,0.0688259986850376,0.011656268893063381,1.9967542441059065,0.015236365390744754,0.020844395269386466,0.02783703927506702,-0.014540428327316977,0.0708085233995118,2.128596408006363
SCNI,1.836,-0.5835777356765848,-0.984763948459427,0.96401894,0.0521510685698804,0.0652705430575085,4476149,17.919859,-0.2303113553113553,0.009387835385433583,0.05048217160400036,0.01474025831672019,0.13139498797986363,0.05412571319282457,-0.038123015591890644,1.8144188571102378,2.0364268079971897
AFRI,0.378,-0.2315141015779028,-0.2700669302348167,-140.80644,0.0172019664627236,0.0180757152161281,234850880,-1.3517799,-0.2047891420261754,0.01423026006204302,1.4185468607901437,0.015335159072913626,0.1297777778325148,0.05188277985885637,-0.0283848832964902,-0.0872644530062676,1.5141235013137138
CPRI,1.751,-0.4695538085598606,-0.4772374763517877,-141.32866,0.0515131382962088,0.0404734935795554,2405961216,-1.43786,-0.220660786365675,0.009670144094289415,1.4235862092364173,0.014751117113636983,0.11453677613431573,0.05327760560363701,-0.034969096869366396,-0.09575864960016289,1.4850941057127671
